City,Country,Date (Unix Timestamp),Latitude,Longitude,Max Temperature(F),Cloudiness(%),Humidity(%),Wind Speed(mph)
ndjole,GA,1529809265,-0.18,10.76,71.23,88,97,2.95
nemuro,JP,1529805600,43.32,145.57,73.4,40,69,4.7
new norfolk,AU,1529805600,-42.78,147.06,51.8,40,57,5.82
nikolskoye,RU,1529805600,59.7,30.79,60.8,0,55,6.71
nioro,GM,1529809262,13.79,-15.05,77.62,32,72,10.67
nome,US,1529806500,30.04,-94.42,82.4,40,83,4.7
norman wells,CA,1529805600,65.28,-126.83,69.8,75,52,21.92
north platte,US,1529805180,41.12,-100.77,77,1,57,6.93
north vernon,US,1529805180,39.01,-85.62,71.6,75,88,4.63
nouadhibou,MR,1529805600,20.93,-17.03,66.2,0,82,16.11
noumea,NC,1529807400,-22.28,166.46,75.2,75,53,5.82
novopskov,UA,1529809301,49.54,39.1,72.76,92,60,6.64
nsanje,MZ,1529809358,-16.92,35.26,58.81,76,91,2.62
nuevo progreso,US,1529807700,26.05,-97.95,87.8,1,79,13.87
nuuk,GL,1529805000,64.17,-51.74,41,68,80,9.17
nyurba,RU,1529808028,63.29,118.35,73.12,0,68,3.51
nyzhni sirohozy,UA,1529809287,46.85,34.38,58.81,0,78,15.37
oistins,BB,1529805600,13.07,-59.53,80.6,75,78,17.22
okara,PK,1529809351,30.81,73.45,92.74,8,57,4.52
okhotsk,RU,1529808485,59.36,143.24,58.09,88,74,5.41
oktyabrskiy,RU,1529807400,55.61,37.97,69.8,0,60,11.18
oktyabrskoye,RU,1529808315,56.73,85.44,65.56,44,95,3.4
ola,RU,1529807400,59.58,151.3,77,20,29,4.47
omboue,GA,1529808015,-1.57,9.26,74.29,92,100,7.31
ornskoldsvik,SE,1529806800,63.29,18.72,44.6,0,65,11.41
ostrovnoy,RU,1529809060,68.05,39.51,56.83,0,67,17.49
ovalle,CL,1529809342,-30.6,-71.2,49.72,92,100,3.4
oxbow,CA,1529808360,49.23,-102.17,64.4,75,93,13.47
ozinki,RU,1529809329,51.2,49.73,74.47,0,46,3.51
paamiut,GL,1529808181,61.99,-49.67,37.39,44,100,3.62
pacific grove,US,1529807700,36.62,-121.92,62.6,1,72,21.92
padang,ID,1529808200,-0.92,100.36,83.56,88,100,5.41
paducah,US,1529807700,37.08,-88.6,77,75,94,7.09
pahrump,US,1529805480,36.21,-115.98,105.8,1,2,13.87
palaikastron,GR,1529809329,35.2,26.25,75.73,0,97,17.72
palana,RU,1529809280,59.08,159.95,67.18,0,55,0.94
pangnirtung,CA,1529809143,66.15,-65.72,30.37,48,95,1.39
paracuaro,MX,1529806080,20.14,-100.76,62.6,90,93,5.82
petropavlovsk-kamchatskiy,RU,1529805600,53.05,158.65,51.8,20,76,11.18
pevek,RU,1529808014,69.7,170.27,45.04,12,67,10.56
phalodi,IN,1529809348,27.13,72.36,94.63,0,47,10
piranshahr,IR,1529809181,36.7,45.14,54.94,0,53,1.61
pisco,PE,1529805600,-13.71,-76.2,60.8,90,87,10.29
pizarro,CO,1529809260,4.95,-77.37,75.37,88,100,3.18
pochutla,MX,1529804700,15.74,-96.47,82.4,90,74,3.4
ponta do sol,BR,1529808041,-20.63,-46,61.24,24,72,3.96
port alfred,ZA,1529807885,-33.59,26.89,62.59,0,89,19.73
port augusta,AU,1529805600,-32.49,137.76,59,0,62,6.93
port blair,IN,1529808444,11.67,92.75,82.66,76,100,17.83
port charlotte,US,1529807700,26.98,-82.09,84.2,1,74,6.42
port elizabeth,US,1529806260,39.31,-74.98,71.6,90,100,6.93
port hedland,AU,1529805600,-20.31,118.58,71.6,0,21,25.28
port keats,AU,1529809200,-14.25,129.55,81.31,0,44,14.03
port lincoln,AU,1529808315,-34.72,135.86,57.46,76,97,11.12
portland,US,1529805360,45.52,-122.67,75.2,20,44,8.05
porto novo,BR,1529805600,-23.68,-45.44,69.8,40,64,3.36
porto velho,BR,1529805600,-8.75,-63.87,75.2,0,73,2.62
prainha,BR,1529809346,-1.8,-53.48,75.01,0,96,2.84
privodino,RU,1529809324,61.08,46.5,66.55,0,61,3.96
privolnaya,RU,1529809311,46.14,38.7,70.78,92,85,11.01
providencia,CO,1529809271,1.24,-77.6,52.51,48,90,1.5
provideniya,RU,1529808037,64.42,-173.23,40.72,88,100,11.45
provo,US,1529807700,40.23,-111.66,80.6,1,23,16.11
pudem,RU,1529809264,58.3,52.17,70.24,24,60,4.63
puerto ayora,EC,1529808050,-0.74,-90.35,71.5,12,99,10.67
puerto baquerizo moreno,EC,1529809337,-0.9,-89.6,72.49,92,100,11.45
puerto escondido,MX,1529804700,15.86,-97.07,82.4,90,74,6.42
puksoozero,RU,1529809308,62.59,40.61,62.41,100,50,4.63
pulupandan,PH,1529809246,10.52,122.82,83.11,64,90,3.29
punta arenas,CL,1529805600,-53.16,-70.91,33.8,90,100,11.41
puri,ID,1529805600,-7.54,112.45,84.2,20,70,8.05
qaanaaq,GL,1529808012,77.48,-69.36,32.62,56,93,4.29
qandala,SO,1529809363,11.47,49.87,78.25,76,67,4.18
qaqortoq,GL,1529805000,60.72,-46.03,41,75,80,2.24
qingyuan,CN,1529809286,27.62,119.06,84.28,80,70,2.73
quatre cocos,MU,1529805600,-20.21,57.76,73.4,75,64,10.29
raudeberg,NO,1529806800,61.99,5.14,51.8,88,93,4.7
rawson,AR,1529808242,-43.3,-65.11,27.22,0,52,9.66
razole,IN,1529809184,16.48,81.84,81.67,92,100,19.17
rena,NO,1529809222,61.13,11.37,45.76,0,84,2.17
ribeira grande,PT,1529808051,38.52,-28.7,70.69,92,100,4.97
richards bay,ZA,1529808332,-28.77,32.06,53.86,0,83,3.4
rikitea,PF,1529808011,-23.12,-134.97,76.54,12,100,12.68
rio gallegos,AR,1529805600,-51.62,-69.22,33.8,90,100,14.99
rio grande,BR,1529809015,-32.03,-52.1,53.86,92,98,13.47
ritchie,ZA,1529805600,-29.03,24.6,37.4,0,55,4.7
riyadh,SA,1529805600,24.63,46.72,80.6,0,28,4.7
rocha,UY,1529808036,-34.48,-54.34,45.94,8,78,13.02
roma,IT,1529806800,41.89,12.48,64.4,20,77,6.93
romodanovo,RU,1529809300,54.42,45.33,75.64,0,68,3.18
rudnichnyy,RU,1529809274,59.7,60.29,65.38,36,63,7.43
rumphi,MW,1529809349,-11.02,33.86,45.4,0,92,2.73
ryotsu,JP,1529805600,38.08,138.43,78.8,40,50,19.46
sabha,LY,1529808338,27.03,14.43,80.41,0,33,14.7
sadovo,BG,1529807400,42.13,24.94,60.8,92,51,11.41
saint anthony,US,1529805840,43.97,-111.68,59,90,62,3.36
saint george,GR,1529805000,39.45,22.34,69.8,75,68,5.82
saint-augustin,FR,1529805600,44.83,-0.61,62.6,0,59,4.7
saint-francois,FR,1529807400,46.42,3.91,50,0,87,1.12
saint-georges,CA,1529808299,46.12,-70.67,60.88,92,76,1.83
saint-philippe,CA,1529806740,45.36,-73.48,62.6,90,87,4.7
saint-pierre,FR,1529805600,48.95,4.24,53.6,0,81,3.36
salalah,OM,1529805000,17.01,54.1,80.6,75,88,8.05
saldanha,PT,1529808007,41.42,-6.55,61.33,0,70,4.74
salisbury,GB,1529805360,51.07,-1.8,57.2,8,71,3.36
sam phran,TH,1529807400,13.72,100.22,86,40,70,8.05
sambava,MG,1529808031,-14.27,50.17,74.02,88,100,19.17
san andres,PH,1529809194,13.32,122.68,81.4,36,100,4.18
san carlos de bariloche,AR,1529805600,-41.13,-71.31,28.4,0,68,4.7
san cristobal,EC,1529805600,-0.39,-78.55,51.8,20,81,11.41
san juan,PR,1529805360,18.47,-66.12,78.8,1,88,9.17
san luis de la paz,MX,1529809182,21.3,-100.52,57.91,44,95,1.61
san patricio,PY,1529808319,-26.98,-56.83,67.99,92,93,3.4
san quintin,PH,1529805600,17.54,120.52,87.8,75,62,4.7
san vicente de canete,PE,1529809303,-13.08,-76.38,53.23,8,94,1.16
sangar,RU,1529809360,63.92,127.47,64.57,64,77,3.96
sangmelima,CM,1529809347,2.93,11.98,68.89,92,97,2.17
santa cruz,US,1529805720,36.97,-122.03,96.8,75,82,9.17
santa cruz cabralia,BR,1529805600,-16.28,-39.02,73.4,0,88,1.12
santa isabel do rio negro,BR,1529808299,-0.41,-65.02,71.86,48,100,3.29
santa maria,BR,1529805600,-29.69,-53.81,55.4,90,82,6.93
sao filipe,CV,1529808445,14.9,-24.5,72.49,0,100,12.01
sao joao batista,BR,1529809358,-3.13,-58.38,77.17,56,87,3.74
sao joao da barra,BR,1529808304,-21.64,-41.05,74.56,0,96,21.41
sao jose da coroa grande,BR,1529809003,-8.9,-35.15,74.74,0,90,10.45
sarkand,KZ,1529809232,45.41,79.91,80.59,48,42,4.52
saryozek,KZ,1529809351,44.36,77.98,79.87,32,25,5.97
saskylakh,RU,1529808055,71.97,114.09,65.38,56,100,4.63
saurimo,AO,1529809019,-9.66,20.4,56.29,0,45,4.52
savinka,RU,1529809288,50.08,47.1,74.11,0,53,3.18
sawankhalok,TH,1529805600,17.31,99.83,84.2,40,70,5.82
senador jose porfirio,BR,1529809366,-2.59,-51.95,75.64,8,100,4.63
serebryansk,KZ,1529807400,49.68,83.3,75.2,75,60,6.71
severo-kurilsk,RU,1529808032,50.68,156.12,46.03,68,91,14.03
severo-yeniseyskiy,RU,1529809197,60.37,93.04,76.54,0,53,5.3
shache,CN,1529809341,38.42,77.24,74.02,12,45,4.41
shambu,ET,1529809235,9.57,37.1,51.52,92,100,2.73
shaowu,CN,1529809133,27.34,117.49,75.91,92,93,1.5
shaping,CN,1529809186,29.23,103.26,67.99,92,99,0.94
shaunavon,CA,1529809219,49.65,-108.41,64.3,20,91,7.99
shelburne,CA,1529806380,44.08,-80.2,64.4,90,88,2.24
shelbyville,US,1529807700,39.41,-88.79,71.6,1,94,4.63
shellbrook,CA,1529805600,53.22,-106.39,62.6,90,82,13.87
shenjiamen,CN,1529808511,29.96,122.3,74.29,92,100,3.74
shieli,KZ,1529809244,44.18,66.74,79.51,64,25,7.76
shimoda,JP,1529805600,34.7,138.93,73.4,75,94,11.41
shingu,JP,1529805600,33.72,135.99,77,75,73,14.99
shitanjing,CN,1529809257,39.23,106.34,77.44,20,46,2.73
sicamous,CA,1529805600,50.84,-118.99,66.2,1,82,5.82
sidi ali,DZ,1529809271,36.1,0.42,71.59,56,58,2.39
sikeston,US,1529807700,36.88,-89.59,80.6,75,88,3.36
simoes,BR,1529809313,-7.6,-40.82,73.12,0,57,15.93
sitka,US,1529808461,37.17,-99.65,77.08,0,73,11.56
smidovich,RU,1529809238,48.6,133.81,61.69,68,77,3.4
soanierana ivongo,MG,1529809350,-16.92,49.59,71.59,92,100,7.87
sol-iletsk,RU,1529809303,51.16,55,69.43,0,45,7.2
sola,FI,1529806800,62.78,29.36,50,0,93,3.62
solnechnyy,RU,1529809211,50.72,136.64,52.51,68,85,7.43
soma,JP,1529805600,37.8,140.92,78.8,40,47,13.87
sorong,ID,1529808487,-0.86,131.25,81.94,8,100,4.63
souillac,FR,1529805600,45.6,-0.6,60.8,0,63,2.24
spring hill,US,1529807700,28.46,-82.54,84.2,1,88,6.64
srednekolymsk,RU,1529808320,67.46,153.71,65.47,12,53,5.86
sri aman,MY,1529805600,1.24,111.46,82.4,75,88,2.24
steinau,DE,1529806800,49.75,8.79,51.8,0,87,3.36
sterling,US,1529808720,39,-77.4,73.4,40,100,5.86
strezhevoy,RU,1529807400,60.73,77.6,57.2,75,93,11.18
sudak,UA,1529809304,44.85,34.97,64.12,44,100,10.89
sur,OM,1529808499,22.57,59.53,88.96,24,84,2.62
synya,RU,1529809277,65.37,58.04,67.27,8,74,3.85
ta khmau,KH,1529807400,11.48,104.95,89.6,40,62,9.17
tabuk,PH,1529809046,17.41,121.44,77.8,64,84,2.06
tacuarembo,UY,1529809315,-31.73,-55.98,45.22,0,89,13.24
talnakh,RU,1529808382,69.49,88.39,62.68,0,61,5.19
taoudenni,ML,1529808486,22.68,-3.98,72.49,0,18,4.63
tarabuco,BO,1529809199,-19.18,-64.92,46.21,76,91,2.73
tari,NG,1529809325,12.41,4.49,74.29,12,93,6.2
tasiilaq,GL,1529805000,65.61,-37.64,39.2,68,86,9.17
tateyama,JP,1529805600,36.66,137.31,80.6,20,54,6.93
tautira,PF,1529807400,-17.73,-149.15,84.2,20,62,6.93
tawang,BT,1529809254,27.59,91.87,59.89,64,65,1.61
te anau,NZ,1529808056,-45.41,167.72,38.29,20,88,10.67
teguldet,RU,1529809342,57.31,88.17,77.71,0,54,3.85
teruel,ES,1529807400,40.34,-1.11,66.2,0,82,2.39
teshie,GH,1529805600,5.58,-0.11,75.2,0,94,8.05
tessalit,ML,1529808008,20.2,1.01,77.89,36,24,5.3
the pas,CA,1529805600,53.82,-101.24,66.2,75,68,8.05
the valley,AI,1529805600,18.22,-63.06,80.6,20,74,16.11
thompson,CA,1529805600,55.74,-97.86,71.6,20,24,5.82
tiarei,PF,1529807400,-17.53,-149.33,84.2,20,62,6.93
tiksi,RU,1529808058,71.64,128.87,77.8,20,46,4.18
timiryazevskoye,RU,1529809331,56.49,84.88,67.63,36,82,3.06
toamasina,MG,1529805600,-18.17,49.38,68,75,94,6.93
tocopilla,CL,1529809116,-22.09,-70.2,55.84,36,100,3.51
togur,RU,1529809354,58.36,82.83,67.36,20,79,4.29
tomatlan,MX,1529808010,19.93,-105.25,77.8,20,71,3.06
tommot,RU,1529809245,58.97,126.27,66.73,68,65,1.95
tongren,CN,1529808499,27.72,109.18,73.21,92,100,3.62
torbay,CA,1529805600,47.66,-52.73,53.6,75,46,33.33
tornio,FI,1529806800,61.12,27.27,51.8,0,93,5.82
torquay,GB,1529809319,50.47,-3.52,55.75,8,88,5.19
torrijos,ES,1529809202,39.98,-4.28,65.11,0,70,4.52
touros,BR,1529808267,-5.2,-35.46,74.29,88,99,11.34
trairi,BR,1529809236,-3.28,-39.27,81.31,20,98,22.86
tuatapere,NZ,1529808450,-46.13,167.69,44.14,32,100,16.49
tuktoyaktuk,CA,1529806260,69.44,-133.03,35.6,90,93,13.87
tulum,MX,1529808480,20.21,-87.46,78.8,40,88,4.97
tungor,RU,1529809357,53.39,142.95,49.81,76,97,12.68
tura,IN,1529809301,25.52,90.21,79.42,64,97,3.62
tyup,KG,1529809199,42.73,78.36,61.69,20,46,2.17
udachnyy,RU,1529808551,66.42,112.4,72.76,64,52,3.18
uglovskoye,RU,1529809223,51.36,80.19,68.44,24,82,6.2
uige,AO,1529809229,-7.61,15.06,57.01,0,86,1.95
ulaanbaatar,MN,1529807400,47.92,106.92,62.6,75,55,13.42
ulladulla,AU,1529805600,-35.36,150.48,57.2,0,47,9.17
umtata,ZA,1529805600,-31.59,28.78,46.4,0,65,6.93
upernavik,GL,1529808013,72.79,-56.15,29.83,76,100,4.07
upington,ZA,1529805600,-28.46,21.24,35.6,0,80,4.7
urengoy,RU,1529809296,65.96,78.37,67.54,20,100,9.78
uruacu,BR,1529808522,-14.52,-49.14,58.45,0,74,2.73
ushuaia,AR,1529805600,-54.81,-68.31,28.4,0,86,4.7
ust-kuyga,RU,1529809366,70,135.55,74.65,0,41,4.52
uvat,RU,1529809200,59.14,68.9,62.23,80,87,11.23
vaini,IN,1529808042,15.34,74.49,68.8,100,100,3.62
vaitape,PF,1529809282,-16.52,-151.75,80.86,0,99,12.8
vanavara,RU,1529808433,60.35,102.28,75.91,0,53,3.74
vao,EE,1529809043,59.1,26.19,52.15,68,84,5.53
varhaug,NO,1529805000,58.61,5.65,51.8,75,93,8.05
velikovechnoye,RU,1529807400,44.94,39.76,68,20,100,2.24
venancio aires,BR,1529809297,-29.61,-52.19,64.3,92,87,3.96
veraval,FR,1529807400,49.65,0.71,55.4,0,81,7.76
verkhnevilyuysk,RU,1529809322,63.45,120.31,72.04,0,47,3.51
vestmanna,FO,1529806800,62.16,-7.17,50,92,100,8.05
vestmannaeyjar,IS,1529808494,63.44,-20.27,47.29,92,100,6.98
victor harbor,AU,1529805600,-35.55,138.62,57.2,75,76,4.7
victoria,BN,1529805600,5.28,115.24,84.2,75,83,5.82
vieste,IT,1529809230,41.88,16.18,69.97,0,100,13.91
vila franca do campo,PT,1529807400,37.72,-25.43,66.2,75,77,6.93
vila velha,BR,1529805600,-3.71,-38.6,80.6,0,65,12.75
vitim,RU,1529809292,59.44,112.57,71.95,36,61,5.97
vokhma,RU,1529809242,58.93,46.76,73.21,8,71,3.51
volodarka,UA,1529809323,49.52,29.93,50.44,8,95,9.89
vrangel,RU,1529809237,42.73,133.08,63.49,0,77,5.41
vuktyl,RU,1529809283,63.86,57.31,68.44,0,60,3.51
waingapu,ID,1529809329,-9.65,120.26,84.01,0,55,14.03
waitara,NZ,1529809369,-39,174.24,53.86,92,100,24.54
walvis bay,NA,1529805600,-22.95,14.51,50,0,87,1.12
wanning,AT,1529806800,48.64,13.53,53.6,75,76,8.05
weihai,CN,1529809289,37.5,122.11,71.95,0,85,7.99
westport,IE,1529809055,53.8,-9.52,42.79,0,100,0.49
whitehorse,CA,1529805600,60.72,-135.06,69.8,20,26,12.75
whitianga,NZ,1529809285,-36.83,175.7,58.36,24,100,19.28
winslow,GB,1529806800,51.94,-0.88,57.2,20,58,4.7
wrzesnia,PL,1529807400,52.33,17.57,53.6,40,87,11.41
xining,CN,1529809337,36.62,101.77,69.61,12,47,3.06
xinyang,CN,1529809246,32.13,114.07,80.86,88,90,9.1
yagodnoye,RU,1529809219,62.52,149.63,68.35,92,32,2.95
yakeshi,CN,1529809312,49.28,120.73,66.64,92,69,16.49
yar-sale,RU,1529808276,66.83,70.83,50.35,0,72,18.05
yarke pole,UA,1529809254,45.61,34.32,63.67,12,66,14.7
yatou,CM,1529805600,3.63,9.81,73.4,40,100,2.24
yellowknife,CA,1529805600,62.45,-114.38,66.2,75,88,6.93
yeppoon,AU,1529807400,-23.13,150.74,75.2,0,31,9.17
yevlax,AZ,1529809314,40.61,47.15,69.97,0,66,2.73
yingcheng,CN,1529805600,30.93,113.57,84.2,40,74,6.71
yining,CN,1529809059,29.04,114.56,82.3,88,85,3.29
yulara,AU,1529805600,-25.24,130.99,59,0,30,12.75
yuza,JP,1529805600,39.05,139.95,77,20,53,16.11
zaltan,LY,1529809336,32.95,11.87,72.94,0,82,5.53
zhanakorgan,KZ,1529809309,43.91,67.25,74.56,0,33,6.31
zhigansk,RU,1529808317,66.77,123.37,76.27,12,35,2.06
zyryanka,RU,1529809370,65.73,150.89,68.8,0,34,6.2
